rank,name,net_worth (in billion $),age,country / territory,source,industry
41.00,Gerard Wertheimer,31.6,72,France,Chanel,Fashion & Retail
43.00,Gianluigi Aponte,31.2,82,Switzerland,Shipping,Logistics
43.00,Rafaela Aponte-Diamant,31.2,78,Switzerland,Shipping,Logistics
45.00,Colin Zheng Huang,30.2,43,China,E-commerce,Technology
46.00,Reinhold Wuerth & family,29.7,87,Germany,Fasteners,Manufacturing
47.00,Lee Shau Kee,29.5,95,Hong Kong,Real estate,Real Estate
48.00,Jeff Yass,28.5,64,United States,"Trading, investments",Finance & Investments
49.00,Jim Simons,28.1,84,United States,Hedge funds,Finance & Investments
50.00,Stephen Schwarzman,27.8,76,United States,Investments,Finance & Investments
51.00,Susanne Klatten,27.4,60,Germany,"BMW, pharmaceuticals",Automotive
52.00,Gina Rinehart,27,69,Australia,Mining,Metals & Mining
53.00,William Lei Ding,26.7,51,China,Online games,Technology
54.00,Germán Larrea Mota Velasco & family,26.6,69,Mexico,Mining,Metals & Mining
55.00,Shiv Nadar,25.6,77,India,Software services,Technology
56.00,Low Tuck Kwong,25.5,74,Indonesia,Coal,Energy
57.00,Thomas Peterffy,25.3,78,United States,Discount brokerage,Finance & Investments
58.00,Andrey Melnichenko & family,25.2,51,Russia,"Fertilizers, coal",Metals & Mining
59.00,Stefan Quandt,24.6,56,Germany,BMW,Automotive
60.00,MacKenzie Scott,24.4,52,United States,Amazon,Technology
61.00,R. Budi Hartono,24.2,82,Indonesia,"Banking, tobacco",Finance & Investments
62.00,Vladimir Potanin,23.7,62,Russia,Metals,Metals & Mining
63.00,Jack Ma,23.5,58,China,E-commerce,Technology
64.00,He Xiangjian & family,23.4,80,China,Home appliances,Manufacturing
65.00,Michael Hartono,23.1,83,Indonesia,"Banking, tobacco",Manufacturing
65.00,Iris Fontbona & family,23.1,80,Chile,Mining,Metals & Mining
67.00,James Ratcliffe,22.9,70,United Kingdom,Chemicals,Manufacturing
68.00,Cyrus Poonawalla,22.6,81,India,Vaccines,Healthcare
69.00,Masayoshi Son,22.4,65,Japan,"Internet, telecom",Telecom
70.00,Vladimir Lisin,22.1,66,Russia,"Steel, transport",Metals & Mining
71.00,Emmanuel Besnier,22,52,France,Cheese,Food & Beverage
72.00,Leonid Mikhelson & family,21.6,67,Russia,"Gas, chemicals",Energy
72.00,Abigail Johnson,21.6,61,United States,Fidelity,Finance & Investments
74.00,Wang Wei,21.2,52,China,Package delivery,Service
74.00,Lukas Walton,21.2,36,United States,Walmart,Fashion & Retail
76.00,Jensen Huang,21.1,60,United States,Semiconductors,Technology
77.00,Leonard Lauder,21,90,United States,Estee Lauder,Fashion & Retail
77.00,Takemitsu Takizaki,21,77,Japan,Sensors,Manufacturing
79.00,Alexey Mordashov & family,20.9,57,Russia,"Steel, investments",Metals & Mining
80.00,Vagit Alekperov,20.5,72,Russia,Oil,Energy
81.00,"Thomas Frist, Jr. & family",20.2,84,United States,Hospitals,Healthcare
82.00,Andrew Forrest,19.6,61,Australia,Mining,Metals & Mining
83.00,Ray Dalio,19.1,73,United States,Hedge funds,Finance & Investments
84.00,Wang Wenyin,19,55,China,"Mining, copper products",Metals & Mining
84.00,Li Shufu,19,59,China,Automobiles,Automotive
86.00,Eyal Ofer,18.9,72,Israel,"Real estate, shipping",Diversified
86.00,Qin Yinglin,18.9,57,China,Pig breeding,Food & Beverage
88.00,Wang Chuanfu,18.7,57,China,"Batteries, automobiles",Automotive
89.00,David Tepper,18.5,65,United States,Hedge funds,Finance & Investments
89.00,Gennady Timchenko,18.5,70,Russia,"Oil, gas",Energy
89.00,Harold Hamm & family,18.5,77,United States,Oil & gas,Energy
92.00,Daniel Gilbert,18,61,United States,Quicken Loans,Finance & Investments
93.00,Lakshmi Mittal,17.7,72,India,Steel,Metals & Mining
94.00,Savitri Jindal & family,17.5,73,India,Steel,Metals & Mining
94.00,Carl Icahn,17.5,87,United States,Investments,Finance & Investments
94.00,Steve Cohen,17.5,66,United States,Hedge funds,Finance & Investments
97.00,"John Menard, Jr.",17.4,83,United States,Home improvement stores,Fashion & Retail
97.00,Donald Bren,17.4,90,United States,Real estate,Real Estate
99.00,Rupert Murdoch & family,17.1,92,United States,"Newspapers, TV network",Media & Entertainment
100.00,Vicky Safra & family,16.7,70,Brazil,Banking,Finance & Investments
101.00,"Theo Albrecht, Jr. & family",16.5,72,Germany,"Aldi, Trader Joe's",Fashion & Retail
101.00,Renata Kellnerova & family,16.5,55,Czech Republic,"Finance, telecommunications",Finance & Investments
103.00,Li Xiting,16.3,72,Singapore,Medical devices,Healthcare
104.00,Eric Schmidt,16.2,67,United States,Google,Technology
104.00,Stefan Persson,16.2,75,Sweden,H&M,Fashion & Retail
106.00,Michael Platt,16,55,United Kingdom,Hedge funds,Finance & Investments
107.00,Pang Kang,15.9,67,China,Soy sauce,Food & Beverage
108.00,Peter Woo,15.8,76,Hong Kong,Real estate,Real Estate
108.00,Jorge Paulo Lemann & family,15.8,83,Brazil,Beer,Food & Beverage
108.00,Beate Heister,15.8,N/A,Germany,Supermarkets,Fashion & Retail
108.00,Karl Albrecht Jr. & family,15.8,N/A,Germany,Supermarkets,Fashion & Retail
112.00,Dilip Shanghvi,15.6,67,India,Pharmaceuticals,Healthcare
113.00,Robert Pera,15.5,45,United States,Wireless networking,Technology
114.00,Radhakishan Damani,15.3,68,India,"Retail, investments",Fashion & Retail
115.00,Huang Shilin,15.2,56,China,Batteries,Automotive
116.00,Dhanin Chearavanont,14.9,83,Thailand,Diversified,Diversified
116.00,David Green & family,14.9,81,United States,Retail,Fashion & Retail
118.00,Charoen Sirivadhanabhakdi,14.8,78,Thailand,"Alcohol, real estate",Food & Beverage
119.00,Charlene de Carvalho-Heineken & family,14.7,68,Netherlands,Heineken,Food & Beverage
120.00,Xu Hang,14.6,56,Hong Kong,Medical devices,Healthcare
121.00,Wei Jianjun & family,14.5,59,China,Automobiles,Automotive
122.00,Alisher Usmanov,14.4,69,Russia,"Steel, telecom, investments",Metals & Mining
123.00,Goh Cheng Liang,14.3,95,Singapore,Paints,Manufacturing
124.00,Aliko Dangote,14.2,65,Nigeria,"Cement, sugar",Manufacturing
124.00,Kumar Birla,14.2,55,India,Commodities,Diversified
126.00,Kwong Siu-hing,14.1,93,Hong Kong,Real estate,Real Estate
127.00,Idan Ofer,14,67,Israel,Shipping,Diversified
128.00,Lui Che Woo,13.9,94,Hong Kong,Casinos/hotels,Gambling & Casinos
128.00,Chen Bang,13.9,57,China,Hospitals,Healthcare
130.00,Diane Hendricks,13.7,76,United States,Building supplies,Construction & Engineering
130.00,John Fredriksen,13.7,78,Cyprus,Shipping,Logistics
130.00,Jan Koum,13.7,47,United States,WhatsApp,Technology
133.00,Joseph Lau,13.3,71,Hong Kong,Real estate,Real Estate
133.00,Jerry Jones,13.3,80,United States,Dallas Cowboys,Sports
133.00,George Kaiser,13.3,80,United States,"Oil & gas, banking",Energy
136.00,Lu Xiangyang,13.2,60,China,"Automobiles, batteries",Automotive
137.00,Harry Triguboff,13.1,90,Australia,Real estate,Real Estate
138.00,Stanley Kroenke,12.9,75,United States,"Sports, real estate",Sports
138.00,Uday Kotak,12.9,64,India,Banking,Finance & Investments
140.00,Mikhail Fridman,12.6,58,Russia,"Oil, banking, telecom",Energy
141.00,Sarath Ratanavadi,12.3,57,Thailand,Energy,Energy
142.00,Jiang Rensheng & family,12.2,69,China,Vaccines,Healthcare
142.00,Dang Yanbao,12.2,50,China,Coal,Metals & Mining
144.00,Shahid Khan,12.1,72,United States,Auto parts,Automotive
145.00,Laurene Powell Jobs & family,12,59,United States,"Apple, Disney",Technology
146.00,Robert Kuok,11.8,99,Malaysia,"Palm oil, shipping, property",Diversified
147.00,Stephen Ross,11.6,82,United States,Real estate,Real Estate
148.00,Thomas Struengmann & family,11.5,73,Germany,Pharmaceuticals,Healthcare
148.00,Pavel Durov,11.5,38,United Arab Emirates,Messaging app,Technology
148.00,Andreas Struengmann & family,11.5,73,Germany,Pharmaceuticals,Healthcare
151.00,Liu Hanyuan,11.4,59,China,Agribusiness,Food & Beverage
151.00,Michael Rubin,11.4,50,United States,Online retail,Fashion & Retail
153.00,Mikhail Prokhorov,11.3,57,Russia,Investments,Finance & Investments
153.00,Anthony Pratt,11.3,62,Australia,Manufacturing,Manufacturing
153.00,Viatcheslav Kantor,11.3,69,Russia,"Fertilizer, real estate",Manufacturing
153.00,Israel Englander,11.3,74,United States,Hedge funds,Finance & Investments
157.00,Johann Rupert & family,11.1,72,South Africa,Luxury goods,Fashion & Retail
157.00,Giorgio Armani,11.1,88,Italy,Luxury goods,Fashion & Retail
159.00,Zhang Zhidong,11,51,China,Internet media,Technology
159.00,Gong Hongjia & family,11,58,Hong Kong,Video surveillance,Finance & Investments
161.00,Philip Anschutz,10.9,83,United States,"Energy, sports, entertainment",Finance & Investments
161.00,Ricardo Salinas Pliego & family,10.9,67,Mexico,"Retail, media",Fashion & Retail
161.00,Judy Love & family,10.9,85,United States,Gas stations,Fashion & Retail
164.00,Donald Newhouse,10.7,93,United States,Media,Media & Entertainment
165.00,Robert Kraft,10.6,81,United States,"Manufacturing, New England Patriots",Sports
165.00,Marcel Herrmann Telles,10.6,73,Brazil,Beer,Food & Beverage
167.00,Suleiman Kerimov & family,10.5,57,Russia,Gold,Finance & Investments
167.00,Changpeng Zhao,10.5,45,Canada,Cryptocurrency exchange,Finance & Investments
167.00,Chris Xu,10.5,39,China,E-commerce,Fashion & Retail
170.00,Andrew Beal,10.3,70,United States,"Banks, real estate",Finance & Investments
171.00,Eduardo Saverin,10.2,41,Brazil,Facebook,Technology
171.00,Viktor Rashnikov,10.2,74,Russia,Steel,Manufacturing
171.00,Jeffery Hildebrand,10.2,64,United States,Oil,Energy
171.00,David Duffield,10.2,82,United States,Business software,Technology
171.00,Carl Cook,10.2,60,United States,Medical devices,Healthcare
171.00,Mike Cannon-Brookes,10.2,43,Australia,Software,Technology
171.00,Christy Walton,10.2,74,United States,Walmart,Fashion & Retail
171.00,Georg Schaeffler,10.2,58,Germany,Auto parts,Automotive
179.00,Quek Leng Chan,10.1,81,Malaysia,"Banking, property",Diversified
179.00,Wu Yajun,10.1,59,China,Real estate,Real Estate
179.00,Scott Farquhar,10.1,43,Australia,Software,Technology
182.00,Autry Stephens,10,85,United States,Oil,Energy
183.00,Liu Yongxing,9.9,74,China,Diversified,Service
184.00,Melker Schorling & family,9.8,75,Sweden,Investments,Finance & Investments
184.00,Tanya Saadé Zeenny,9.8,55,France,Shipping,Logistics
184.00,Rodolphe Saadé,9.8,53,France,Shipping,Logistics
184.00,"Jacques Saadé, Jr.",9.8,51,France,Shipping,Logistics
184.00,Nicolas Puech,9.8,80,France,Hermes,Fashion & Retail
184.00,Vinod Adani,9.8,74,Cyprus,"Infrastructure, commodities",Diversified
190.00,Michael Kim,9.7,59,United States,Private equity,Finance & Investments
190.00,Andrei Guriev & family,9.7,63,Russia,Fertilizers,Manufacturing
190.00,Friedhelm Loh,9.7,76,Germany,Manufacturing,Manufacturing
190.00,Lei Jun,9.7,53,China,Smartphones,Technology
190.00,Sun Piaoyang,9.7,64,China,Pharmaceuticals,Healthcare
195.00,Rick Cohen & family,9.6,70,United States,Warehouse automation,Technology
195.00,Victoria Mars,9.6,66,United States,"Candy, pet food",Food & Beverage
195.00,Jin Baofang,9.6,70,China,Solar panels,Energy
195.00,Luo Liguo & family,9.6,67,China,Chemicals,Manufacturing
195.00,Valerie Mars,9.6,64,United States,"Candy, pet food",Food & Beverage
195.00,Pamela Mars,9.6,62,United States,"Candy, pet food",Food & Beverage
195.00,Marijke Mars,9.6,58,United States,"Candy, pet food",Food & Beverage
202.00,Vincent Bolloré & family,9.5,71,France,Investments,Finance & Investments
202.00,Jim Pattison,9.5,94,Canada,Diversified,Diversified
204.00,Wang Xing,9.4,44,China,E-commerce,Technology
204.00,Ernesto Bertarelli,9.4,57,Switzerland,"Biotech, investments",Healthcare
206.00,James Dyson,9.3,75,United Kingdom,Vacuums,Manufacturing
206.00,Brian Chesky,9.3,41,United States,Airbnb,Technology
208.00,Azim Premji,9.2,77,India,Software services,Technology
208.00,John Malone,9.2,82,United States,Cable television,Media & Entertainment
208.00,Daniel Kretinsky,9.2,47,Czech Republic,"Energy, investments",Energy
208.00,Antonia Ax:son Johnson & family,9.2,79,Sweden,Diversified,Diversified
208.00,Roman Abramovich & family,9.2,56,Russia,"Steel, investments",Diversified
208.00,Eric Smidt,9.2,63,United States,Hardware stores,Fashion & Retail
208.00,Charles Schwab,9.2,85,United States,Discount brokerage,Finance & Investments
215.00,Ivan Glasenberg,9,66,Switzerland,Mining,Metals & Mining
215.00,Alexander Otto,9,55,Germany,Real estate,Real Estate
215.00,Wang Liping & family,9,57,China,Hydraulic machinery,Manufacturing
215.00,Anthony von Mandl,9,73,Canada,Alcoholic beverages,Food & Beverage
215.00,David Cheriton,9,72,Canada,Google,Technology
220.00,Kirsten Rausing,8.9,70,Sweden,Packaging,Food & Beverage
220.00,Jorn Rausing,8.9,63,Sweden,Packaging,Food & Beverage
220.00,Finn Rausing,8.9,68,Sweden,Packaging,Food & Beverage
223.00,Dustin Moskovitz,8.8,38,United States,Facebook,Sports
223.00,Richard Liu,8.8,49,China,E-commerce,Technology
223.00,John Doerr,8.8,71,United States,Venture capital,Technology
223.00,Tatyana Bakalchuk,8.8,47,Russia,Ecommerce,Fashion & Retail
223.00,Pei Zhenhua,8.8,64,China,Batteries,Energy
223.00,Pierre Omidyar,8.8,55,United States,"EBay, PayPal",Technology
223.00,Carrie Perrodo & family,8.8,72,France,Oil,Energy
230.00,Chen Jianhua,8.7,52,China,Chemicals,Manufacturing
230.00,Michael Otto,8.7,79,Germany,"Retail, real estate",Fashion & Retail
232.00,Leon Black,8.6,71,United States,Private equity,Finance & Investments
232.00,Andreas von Bechtolsheim & family,8.6,67,Germany,Google,Technology
232.00,Manuel Villar,8.6,73,Philippines,Real estate,Real Estate
232.00,Carlos Alberto Sicupira & family,8.6,75,Brazil,Beer,Food & Beverage
232.00,Hasso Plattner & family,8.6,79,Germany,Software,Technology
232.00,Ravi Jaipuria,8.6,68,India,"Soft drinks, fast food",Food & Beverage
232.00,Graeme Hart,8.6,67,New Zealand,Investments,Finance & Investments
239.00,Li Zhenguo & family,8.5,55,China,Solar wafers and modules,Manufacturing
239.00,Ann Walton Kroenke,8.5,74,United States,Walmart,Fashion & Retail
239.00,"Chase Coleman, III.",8.5,47,United States,Investments,Finance & Investments
242.00,Zheng Shuliang & family,8.4,77,China,Aluminum products,Metals & Mining
242.00,Nicky Oppenheimer & family,8.4,77,South Africa,Diamonds,Metals & Mining
242.00,Jim Kennedy,8.4,75,United States,"Media, automotive",Media & Entertainment
242.00,Blair Parry-Okeden,8.4,72,United States,"Media, automotive",Media & Entertainment
246.00,John Morris,8.3,75,United States,Sporting goods retail,Fashion & Retail
246.00,Stefano Pessina,8.3,81,Monaco,Drugstores,Fashion & Retail
246.00,Francine von Finck & family,8.3,N/A,Germany,Investments,Finance & Investments
249.00,Yang Huiyan & family,8.2,41,China,Real estate,Real Estate
249.00,Wang Jianlin,8.2,68,China,Real estate,Real Estate
249.00,Kushal Pal Singh,8.2,91,India,Real estate,Real Estate
249.00,George Roberts,8.2,79,United States,Private equity,Finance & Investments
249.00,Abdulsamad Rabiu,8.2,62,Nigeria,"Cement, sugar",Diversified
249.00,German Khan,8.2,61,Russia,"Oil, banking, telecom",Energy
249.00,Francis Choi,8.2,75,Hong Kong,Real estate,Real Estate
256.00,Karel Komarek,8.1,54,Czech Republic,"Oil and gas, IT, lotteries",Gambling & Casinos
256.00,Laurent Dassault,8.1,69,France,Diversified,Diversified
256.00,Tilman Fertitta,8.1,65,United States,"Houston Rockets, entertainment",Food & Beverage
256.00,Thierry Dassault,8.1,66,France,Diversified,Diversified
256.00,Marie-Hélène Habert-Dassault,8.1,58,France,Diversified,Diversified
261.00,Nathan Blecharczyk,8,39,United States,Airbnb,Technology
261.00,Leonid Fedun,8,66,Russia,Oil,Energy
261.00,Eric Wittouck,8,76,Belgium,Investments,Finance & Investments
261.00,Pavel Tykac,8,58,Czech Republic,Coal mines,Metals & Mining
261.00,Robert F. Smith,8,60,United States,Private equity,Finance & Investments
261.00,Patrick Ryan,8,85,United States,Insurance,Finance & Investments
261.00,Bernard Marcus,8,93,United States,Home Depot,Fashion & Retail
268.00,Georg Stumpf,7.9,50,Austria,"Real estate, construction",Diversified
268.00,Jay Y. Lee,7.9,54,South Korea,Samsung,Technology
268.00,Nancy Walton Laurie,7.9,71,United States,Walmart,Fashion & Retail
268.00,Ding Shizhong & family,7.9,52,China,Sports apparel,Fashion & Retail
268.00,Orlando Bravo,7.9,52,United States,Private equity,Finance & Investments
268.00,David Shaw,7.9,72,United States,Hedge funds,Finance & Investments
268.00,Ramzi Musallam,7.9,54,United States,Private equity,Finance & Investments
268.00,Andrei Skoch & family,7.9,57,Russia,Metals and mining,Metals & Mining
276.00,Rocco Commisso,7.8,73,United States,Telecom,Telecom
276.00,Li Shuirong,7.8,66,China,Petrochemicals,Manufacturing
276.00,Zhang Congyuan,7.8,75,Taiwan,Shoes,Fashion & Retail
276.00,Yao Liangsong,7.8,58,China,Furniture,Manufacturing
276.00,Qi Shi & family,7.8,53,China,Financial information,Technology
276.00,Lin Shu-hong,7.8,94,Taiwan,Petrochemicals,Manufacturing
282.00,Liu Yonghao & family,7.7,71,China,Agribusiness,Service
282.00,Robin Li,7.7,54,China,Internet search,Technology
282.00,David Geffen,7.7,80,United States,"Movies, record labels",Media & Entertainment
282.00,Marie Besnier Beauvalot,7.7,42,France,Cheese,Food & Beverage
282.00,Jean-Michel Besnier,7.7,55,France,Cheese,Food & Beverage
282.00,Reinhold Schmieding,7.7,68,United States,Medical devices,Healthcare
282.00,Henry Samueli,7.7,68,United States,Semiconductors,Technology
282.00,Ivar Tollefsen,7.7,61,Norway,Real estate,Real Estate
290.00,Cao Renxian,7.6,54,China,Photovoltaic equipment,Energy
290.00,Hasmukh Chudgar & family,7.6,89,India,Pharmaceuticals,Healthcare
290.00,Andrew Currie,7.6,67,United Kingdom,Chemicals,Manufacturing
290.00,Zhong Huijuan,7.6,62,China,Pharmaceuticals,Healthcare
290.00,Joseph Tsai,7.6,59,Canada,E-commerce,Technology
290.00,Leonard Stern,7.6,85,United States,Real estate,Real Estate
290.00,John Reece,7.6,66,United Kingdom,Chemicals,Manufacturing
290.00,Philip Ng,7.6,64,Singapore,Real Estate,Real Estate
290.00,Joe Gebbia,7.6,41,United States,Airbnb,Technology
299.00,Ding Shijia,7.5,59,China,Sports apparel,Fashion & Retail
299.00,Charles Butt,7.5,85,United States,Supermarkets,Fashion & Retail
299.00,Arthur Blank,7.5,80,United States,Home Depot,Sports
299.00,Henry Kravis,7.5,79,United States,Private equity,Finance & Investments
299.00,"Paul Tudor Jones, II.",7.5,68,United States,Hedge funds,Finance & Investments
299.00,Zhang Yong,7.5,52,Singapore,Restaurants,Food & Beverage
305.00,James Goodnight,7.4,80,United States,Software,Technology
305.00,Sri Prakash Lohia,7.4,70,Indonesia,Petrochemicals,Manufacturing
305.00,Ma Jianrong & family,7.4,59,China,"Textiles, apparel",Fashion & Retail
305.00,Harry Stine,7.4,81,United States,Agriculture,Food & Beverage
305.00,Nassef Sawiris,7.4,62,Egypt,"Construction, investments",Construction & Engineering
305.00,Steven Rales,7.4,72,United States,"Manufacturing, investments",Manufacturing
305.00,Robert Ng,7.4,71,Singapore,Real estate,Real Estate
312.00,Wang Laichun,7.3,55,China,Electronics components,Technology
312.00,Enrique Razon Jr.,7.3,63,Philippines,Ports,Logistics
312.00,Anders Holch Povlsen,7.3,50,Denmark,Fashion retail,Fashion & Retail
312.00,Iskander Makhmudov,7.3,59,Russia,"Mining, metals, machinery",Metals & Mining
312.00,Benu Gopal Bangur,7.3,91,India,Cement,Manufacturing
317.00,Don Hankey,7.2,79,United States,Auto loans,Finance & Investments
317.00,Richard Kinder,7.2,78,United States,Pipelines,Energy
317.00,Guillaume Pousaz,7.2,41,Switzerland,Fintech,Finance & Investments
317.00,Zong Qinghou,7.2,77,China,Beverages,Food & Beverage
317.00,Takahisa Takahara,7.2,61,Japan,Personal care goods,Fashion & Retail
317.00,Terry Gou,7.2,72,Taiwan,Electronics,Technology
317.00,Arthur Dantchik,7.2,65,United States,"Trading, investments",Finance & Investments
317.00,Jeff Greene,7.2,68,United States,"Real estate, investments",Real Estate
325.00,Zhang Hejun,7.1,71,China,Electronics,Manufacturing
325.00,Wee Cho Yaw,7.1,94,Singapore,Banking,Finance & Investments
325.00,Frederik Paulsen,7.1,72,Sweden,Health care,Healthcare
325.00,Liang Wengen,7.1,66,China,Construction equipment,Manufacturing
325.00,Tamara Gustavson,7.1,61,United States,Self storage,Service
325.00,Johann Graf,7.1,76,Austria,Gambling,Gambling & Casinos
325.00,Judy Faulkner,7.1,79,United States,Healthcare software,Technology
332.00,Jack Dangermond,7,77,United States,Mapping software,Technology
332.00,Ashwin Dani & family,7,80,India,Paints,Manufacturing
332.00,Ralph Lauren,7,83,United States,Apparel,Fashion & Retail
332.00,Don Vultaggio & family,7,71,United States,Beverages,Food & Beverage
332.00,Jude Reyes,7,67,United States,Food distribution,Food & Beverage
332.00,J. Christopher Reyes,7,69,United States,Food distribution,Food & Beverage
332.00,Shapoor Mistry,7,58,Ireland,Diversified,Diversified
332.00,Rohiqa Cyrus Mistry,7,55,India,Diversified,Diversified
332.00,Law Kar Po,7,74,Hong Kong,Real estate,Real Estate
332.00,Dmitri Bukhman,7,37,Israel,Online games,Media & Entertainment
332.00,Marc Benioff,7,58,United States,Business software,Technology
332.00,Igor Bukhman,7,41,Israel,Online games,Media & Entertainment
344.00,Sandra Ortega Mera,6.9,54,Spain,Zara,Fashion & Retail
344.00,Ronda Stryker,6.9,68,United States,Medical equipment,Healthcare
344.00,Pauline MacMillan Keinath,6.9,89,United States,Cargill,Food & Beverage
344.00,Edythe Broad & family,6.9,87,United States,"Homebuilding, insurance",Diversified
344.00,Alejandro Bailleres Gual & family,6.9,62,Mexico,Diversified,Diversified
344.00,Liu Jincheng & family,6.9,58,China,Lithium batteries,Technology
344.00,Philippe Laffont,6.9,55,United States,Hedge fund,Finance & Investments
344.00,Igor Olenicoff,6.9,80,United States,Real estate,Real Estate
352.00,Dannine Avara,6.8,59,United States,Pipelines,Energy
352.00,David Siegel,6.8,61,United States,Hedge funds,Finance & Investments
352.00,John Overdeck,6.8,53,United States,Hedge funds,Finance & Investments
352.00,Gordon Moore,6.8,94,United States,Intel,Technology
352.00,Yuri Milner,6.8,61,Israel,Tech investments,Finance & Investments
352.00,"Edward Johnson, IV.",6.8,58,United States,Fidelity,Finance & Investments
352.00,Milane Frantz,6.8,53,United States,Pipelines,Energy
352.00,Scott Duncan,6.8,40,United States,Pipelines,Energy
352.00,Denise Coates,6.8,55,United Kingdom,Online gambling,Gambling & Casinos
352.00,Silvio Berlusconi & family,6.8,86,Italy,Media,Diversified
352.00,Wang Laisheng,6.8,58,China,Electronics components,Technology
352.00,Viktor Vekselberg,6.8,65,Russia,"Metals, investments",Diversified
352.00,Randa Duncan Williams,6.8,61,United States,Pipelines,Energy
365.00,Ken Fisher,6.7,72,United States,Money management,Finance & Investments
365.00,Agnete Kirk Thinggaard,6.7,39,Denmark,Lego,Manufacturing
365.00,Christopher Hohn,6.7,56,United Kingdom,Hedge funds,Finance & Investments
365.00,John Tu,6.7,81,United States,Computer hardware,Technology
365.00,Kjeld Kirk Kristiansen,6.7,75,Denmark,Lego,Manufacturing
365.00,Xu Shihui,6.7,65,China,"Snacks, beverages",Food & Beverage
365.00,"Edward Roski, Jr.",6.7,84,United States,Real estate,Real Estate
365.00,Terrence Pegula,6.7,72,United States,Natural gas,Energy
365.00,Xavier Niel,6.7,55,France,"Internet, telecom",Telecom
365.00,Magdalena Martullo-Blocher,6.7,54,Switzerland,Chemicals,Manufacturing
365.00,Lin Jianhua,6.7,60,China,Solar panel components,Manufacturing
365.00,Li Ping,6.7,55,Hong Kong,Batteries,Automotive
365.00,Massimiliana Landini Aleotti & family,6.7,80,Italy,Pharmaceuticals,Healthcare
365.00,Thomas Kirk Kristiansen,6.7,44,Denmark,Lego,Manufacturing
365.00,Sofie Kirk Kristiansen,6.7,47,Denmark,Lego,Manufacturing
365.00,George Soros,6.7,92,United States,Hedge funds,Finance & Investments
365.00,John A. Sobrato & family,6.7,83,United States,Real estate,Real Estate
365.00,David Sun,6.7,71,United States,Computer hardware,Technology
383.00,Nadia Thiele,6.6,47,Germany,Investments,Finance & Investments
383.00,"Henry Nicholas, III.",6.6,63,United States,Semiconductors,Technology
383.00,Bruce Kovner,6.6,78,United States,Hedge funds,Finance & Investments
383.00,Trudy Cathy White,6.6,67,United States,Chick-fil-A,Food & Beverage
383.00,Dan Cathy,6.6,70,United States,Chick-fil-A,Food & Beverage
